transaction_id,timestamp,sender_id,receiver_id,amount,device,city,transaction_type,status,is_fraud
T001396,2025-07-14 01:24:27,2433,1804,5747.21,Android,Mumbai,Request,Failed,True
T001400,2025-07-14 01:24:35,1684,2736,7867.53,Android,Kolkata,Receive,Failed,True
T000680,2025-07-14 15:58:16,5368,4723,9806.16,Android,Bangalore,Send,Success,True
T000684,2025-07-14 15:58:24,1573,6313,8598.23,Android,Mumbai,Send,Success,True
T000693,2025-07-14 15:58:42,7512,9080,2570.25,Android,Mumbai,Request,Failed,True
T000697,2025-07-14 15:58:50,1417,5670,7184.63,Android,Bangalore,Request,Success,True
T000698,2025-07-14 15:58:52,3439,7966,7416.52,Android,Mumbai,Receive,Failed,True
T000701,2025-07-14 15:58:58,9956,2718,6684.33,Android,Mumbai,Request,Pending,True
T000707,2025-07-14 15:59:10,9137,1710,1529.23,MacOS,Kolkata,Receive,Success,True
T000771,2025-07-14 16:01:43,8803,7634,981.07,Android,Mumbai,Send,Failed,True
T000772,2025-07-14 16:01:45,7196,3106,2520.55,Android,Mumbai,Send,Failed,True
T000777,2025-07-14 16:01:55,1831,3209,1996.29,Android,Bangalore,Send,Failed,True
T000786,2025-07-14 16:02:13,5630,6523,9706.11,Android,Mumbai,Send,Pending,True
T000802,2025-07-14 16:02:45,1935,4755,1704.98,Android,Mumbai,Request,Success,True
T000803,2025-07-14 16:02:47,1969,2609,1816.86,MacOS,Mumbai,Receive,Pending,True
T000805,2025-07-14 16:02:51,8802,7544,9660.83,MacOS,Mumbai,Receive,Pending,True
T000808,2025-07-14 16:02:57,1154,2812,4231.23,Android,Bangalore,Send,Failed,True
T000828,2025-07-14 16:03:37,6166,2691,5879.8,Android,Mumbai,Request,Success,True
T000838,2025-07-14 16:19:55,9989,8745,1334.25,MacOS,Kolkata,Receive,Success,True
T000845,2025-07-14 16:20:10,3286,4605,9645.22,MacOS,Mumbai,Send,Failed,True
T000850,2025-07-14 16:20:20,7929,2544,2561.94,MacOS,Mumbai,Receive,Pending,True
T000853,2025-07-14 16:20:26,5367,8918,525.65,IOS,Bangalore,Request,Failed,True
T000858,2025-07-14 16:20:36,4977,2453,182.95,Android,Delhi,Send,Pending,True
T000860,2025-07-14 16:20:40,1711,9613,1038.87,Android,Kolkata,Send,Failed,True
