transaction_id,timestamp,sender_id,receiver_id,amount,device,city,transaction_type,status
T000027,2025-07-14 14:18:37,9820,3878,2196.1,IOS,Bangalore,Send,Pending
T000028,2025-07-14 14:18:39,5245,9155,3839.01,MacOS,Bangalore,Send,Success
T000029,2025-07-14 14:18:41,3320,5985,5189.34,MacOS,Bangalore,Send,Success
T000030,2025-07-14 14:18:43,6007,6804,710.82,MacOS,Mumbai,Receive,Failed
T000031,2025-07-14 14:18:45,7164,1978,253.2,Android,Bangalore,Receive,Success
T000032,2025-07-14 14:18:47,3837,7634,4697.54,IOS,Kolkata,Request,Pending
T000033,2025-07-14 14:18:49,4375,1777,471.6,Android,Delhi,Receive,Success
T000034,2025-07-14 14:18:51,2815,2592,3848.26,IOS,Kolkata,Send,Failed
T000035,2025-07-14 14:18:53,1720,9377,5986.52,IOS,Mumbai,Request,Success
T000036,2025-07-14 14:18:55,5237,4533,3196.99,MacOS,Bangalore,Send,Pending
T000037,2025-07-14 14:18:57,5136,9725,6271.2,IOS,Bangalore,Send,Success
T000038,2025-07-14 14:18:59,9114,3913,3389.34,Android,Chennai,Receive,Pending
T000039,2025-07-14 14:19:01,4343,8992,8619.25,MacOS,Bangalore,Receive,Pending
T000040,2025-07-14 14:19:03,1251,4033,2604.86,Android,Kolkata,Send,Failed
T000041,2025-07-14 14:19:05,1500,3262,8264.88,IOS,Delhi,Receive,Pending
T000042,2025-07-14 14:42:39,2992,6050,452.51,MacOS,Chennai,Receive,Pending
T000043,2025-07-14 14:42:41,5271,8509,8431.34,IOS,Kolkata,Receive,Failed
T000044,2025-07-14 14:42:43,2606,5282,8184.36,MacOS,Kolkata,Request,Success
T000045,2025-07-14 14:42:45,1672,1576,8453.76,IOS,Kolkata,Send,Failed
T000046,2025-07-14 14:42:47,8197,9709,5623.17,IOS,Bangalore,Request,Success
T000047,2025-07-14 14:42:49,8525,6718,9649.81,IOS,Bangalore,Request,Success
T000048,2025-07-14 14:42:51,9554,1170,9786.83,MacOS,Bangalore,Receive,Failed
T000049,2025-07-14 14:42:53,7789,9539,8029.76,MacOS,Chennai,Request,Success
T000050,2025-07-14 14:42:55,6704,7931,9970.32,MacOS,Bangalore,Request,Success
T000051,2025-07-14 14:42:57,2030,7975,2879.2,IOS,Mumbai,Receive,Pending
T000052,2025-07-14 14:42:59,8702,6440,1787.14,MacOS,Chennai,Send,Failed
T000053,2025-07-14 14:43:01,9384,5239,2531.49,Android,Bangalore,Receive,Pending
T000054,2025-07-14 14:43:03,6921,5129,714.35,MacOS,Bangalore,Send,Failed
T000055,2025-07-14 14:43:05,7943,2612,3312.85,Android,Kolkata,Receive,Success
T000056,2025-07-14 14:43:07,1575,6592,4699.45,Android,Chennai,Send,Failed
T000057,2025-07-14 14:43:09,9381,8950,7896.27,Android,Kolkata,Receive,Failed
T000058,2025-07-14 14:43:11,1295,7161,7188.34,IOS,Kolkata,Send,Pending
T000059,2025-07-14 14:43:13,1613,8549,9165.85,Android,Mumbai,Send,Failed
T000060,2025-07-14 14:43:15,9672,1030,7247.11,Android,Chennai,Receive,Success
T000061,2025-07-14 14:43:17,6348,9111,4064.34,IOS,Kolkata,Request,Failed
T000062,2025-07-14 14:43:19,4226,3782,9307.89,MacOS,Mumbai,Request,Failed
T000063,2025-07-14 14:47:04,8098,4280,1817.21,IOS,Chennai,Receive,Success
T000064,2025-07-14 14:47:06,4661,5444,9005.05,MacOS,Kolkata,Receive,Failed
T000065,2025-07-14 14:47:08,2225,5860,1771.93,MacOS,Chennai,Receive,Failed
T000066,2025-07-14 14:47:10,2713,8585,8218.33,MacOS,Delhi,Send,Pending
T000067,2025-07-14 14:47:12,5924,8336,837.41,Android,Chennai,Request,Failed
T000068,2025-07-14 14:47:14,8865,8108,8598.01,Android,Bangalore,Request,Success
T000069,2025-07-14 14:47:16,8997,2253,8842.66,MacOS,Mumbai,Request,Pending
T000070,2025-07-14 14:47:18,2950,7565,4807.78,IOS,Bangalore,Receive,Success
T000071,2025-07-14 14:47:20,7293,8800,3608.97,IOS,Mumbai,Receive,Success
T000072,2025-07-14 14:47:22,2415,3681,9279.92,Android,Mumbai,Request,Failed
T000073,2025-07-14 14:47:24,5417,6981,7611.95,Android,Bangalore,Receive,Failed
T000074,2025-07-14 14:47:26,7614,9220,7316.48,Android,Bangalore,Receive,Success
T000075,2025-07-14 14:47:28,7404,2424,9913.33,IOS,Bangalore,Send,Pending
T000076,2025-07-14 14:47:30,4797,9366,9170.76,Android,Kolkata,Receive,Pending
T000077,2025-07-14 14:47:32,3030,5481,8151.18,IOS,Chennai,Send,Pending
T000078,2025-07-14 14:47:34,3017,8706,1093.3,Android,Kolkata,Receive,Pending
T000079,2025-07-14 14:47:36,7567,3403,5507.59,Android,Kolkata,Request,Pending
T000080,2025-07-14 14:47:38,8453,5954,3305.5,Android,Kolkata,Receive,Failed
T000081,2025-07-14 14:47:40,2803,8669,8345.56,MacOS,Chennai,Receive,Success
T000082,2025-07-14 14:47:42,5141,5857,1207.56,Android,Bangalore,Receive,Failed
T000083,2025-07-14 14:47:44,6933,7942,3031.31,IOS,Chennai,Send,Pending
T000084,2025-07-14 14:47:46,7083,6887,111.69,Android,Kolkata,Receive,Pending
T000085,2025-07-14 14:47:48,1006,3400,5925.77,IOS,Mumbai,Request,Success
T000086,2025-07-14 14:47:50,2282,8837,9622.17,IOS,Kolkata,Request,Failed
T000087,2025-07-14 14:47:52,7913,5264,2571.77,IOS,Kolkata,Request,Failed
T000088,2025-07-14 14:47:54,8540,3558,1619.47,Android,Mumbai,Receive,Failed
T000089,2025-07-14 14:47:56,1737,3534,6054.52,Android,Bangalore,Receive,Pending
T000090,2025-07-14 14:47:58,7222,5418,2266.96,MacOS,Delhi,Receive,Pending
T000091,2025-07-14 14:48:00,6205,9445,4371.65,Android,Mumbai,Send,Failed
T000092,2025-07-14 14:48:02,5717,1646,6217.36,IOS,Delhi,Send,Pending
T000093,2025-07-14 14:48:04,4530,3949,1214.19,IOS,Kolkata,Send,Pending
T000094,2025-07-14 14:48:06,7300,8030,7509.08,Android,Chennai,Send,Pending
T000095,2025-07-14 14:48:08,4255,8638,7227.08,IOS,Bangalore,Request,Pending
T000096,2025-07-14 14:48:10,7523,9726,1133.0,IOS,Chennai,Request,Pending
T000097,2025-07-14 14:48:12,1552,5128,2490.43,Android,Chennai,Receive,Failed
T000098,2025-07-14 14:48:14,6186,4035,9575.76,Android,Chennai,Send,Failed
T000099,2025-07-14 14:48:16,8532,6121,1327.45,Android,Kolkata,Request,Failed
T000100,2025-07-14 14:48:18,2527,5880,1275.75,IOS,Kolkata,Receive,Pending
T000101,2025-07-14 14:48:20,7408,5285,123.76,MacOS,Delhi,Send,Pending
T000102,2025-07-14 14:48:22,3388,1604,4674.72,MacOS,Bangalore,Send,Failed
T000103,2025-07-14 14:48:24,3913,9884,1179.53,MacOS,Delhi,Send,Success
T000104,2025-07-14 14:48:26,4970,8617,5920.01,MacOS,Bangalore,Receive,Pending
T000105,2025-07-14 14:48:28,7675,9478,477.34,MacOS,Kolkata,Send,Failed
T000106,2025-07-14 14:48:30,6244,3157,7371.44,IOS,Kolkata,Send,Failed
T000107,2025-07-14 14:48:32,1629,8327,5821.83,MacOS,Mumbai,Receive,Success
T000108,2025-07-14 14:48:34,1579,1126,8214.45,IOS,Chennai,Receive,Failed
T000109,2025-07-14 14:48:36,2523,6386,7424.94,IOS,Kolkata,Receive,Pending
T000110,2025-07-14 14:48:38,8606,1660,2767.11,MacOS,Delhi,Request,Pending
T000111,2025-07-14 14:48:40,5463,8372,7128.25,Android,Chennai,Request,Success
T000112,2025-07-14 14:48:42,6859,4402,9323.2,IOS,Kolkata,Send,Success
T000113,2025-07-14 14:48:44,8889,2094,1070.96,IOS,Chennai,Request,Success
T000114,2025-07-14 14:48:46,4061,4414,5175.84,MacOS,Bangalore,Send,Pending
T000115,2025-07-14 14:48:48,7190,5098,266.84,IOS,Chennai,Request,Failed
T000116,2025-07-14 14:48:50,1086,8070,4776.61,Android,Mumbai,Send,Success
T000117,2025-07-14 14:48:52,6147,4324,7699.01,IOS,Mumbai,Send,Failed
T000118,2025-07-14 14:48:54,7488,5262,7220.6,MacOS,Delhi,Send,Failed
T000119,2025-07-14 14:48:56,3781,5400,5822.48,MacOS,Delhi,Request,Pending
T000120,2025-07-14 14:48:58,6574,2618,7910.94,Android,Chennai,Request,Pending
T000121,2025-07-14 14:57:37,6236,3505,6984.65,MacOS,Bangalore,Send,Failed
T000122,2025-07-14 14:57:39,6004,8632,4388.85,IOS,Delhi,Request,Failed
T000123,2025-07-14 14:57:41,9626,1092,6407.61,Android,Mumbai,Receive,Success
T000124,2025-07-14 14:57:43,2812,2525,9561.32,MacOS,Kolkata,Request,Failed
T000125,2025-07-14 14:57:45,6546,8456,8408.66,MacOS,Delhi,Send,Success
T000126,2025-07-14 14:57:47,4155,3958,3444.34,Android,Delhi,Receive,Failed
T000127,2025-07-14 14:57:49,8880,3762,3353.76,Android,Delhi,Request,Success
T000128,2025-07-14 14:57:51,4219,9849,2853.83,IOS,Kolkata,Receive,Pending
T000129,2025-07-14 14:57:53,9362,6084,856.96,Android,Kolkata,Receive,Pending
T000130,2025-07-14 14:57:55,8358,5937,1667.51,MacOS,Mumbai,Request,Failed
T000131,2025-07-14 14:57:57,3136,6498,5944.46,MacOS,Bangalore,Request,Pending
T000132,2025-07-14 14:57:59,7611,2895,3598.82,IOS,Kolkata,Send,Pending
T000133,2025-07-14 14:58:01,6352,7458,5285.69,Android,Chennai,Request,Pending
T000134,2025-07-14 14:58:03,9957,2517,5871.2,MacOS,Mumbai,Request,Failed
T000135,2025-07-14 14:58:05,5276,7262,6455.84,MacOS,Mumbai,Send,Failed
T000136,2025-07-14 14:58:07,4587,7111,1192.07,MacOS,Kolkata,Send,Success
T000137,2025-07-14 14:58:09,2485,6953,8498.7,Android,Delhi,Receive,Pending
T000138,2025-07-14 14:58:11,6490,1447,5189.81,MacOS,Kolkata,Send,Success
T000139,2025-07-14 14:58:13,4851,3648,9554.66,Android,Delhi,Request,Success
T000140,2025-07-14 14:58:15,3133,4852,7607.82,MacOS,Delhi,Receive,Pending
T000141,2025-07-14 14:58:17,6542,8300,5171.36,Android,Bangalore,Request,Success
T000142,2025-07-14 14:58:19,7179,2560,693.57,IOS,Bangalore,Receive,Pending
T000143,2025-07-14 14:58:21,1867,3446,1751.34,MacOS,Chennai,Request,Success
T000144,2025-07-14 14:58:23,1409,5814,273.08,Android,Mumbai,Receive,Failed
T000145,2025-07-14 14:58:26,6222,2359,2004.16,IOS,Kolkata,Send,Pending
T000146,2025-07-14 14:58:28,5027,9701,4468.98,Android,Delhi,Send,Failed
T000147,2025-07-14 14:58:30,2568,1131,6671.94,MacOS,Chennai,Receive,Failed
T000148,2025-07-14 14:58:32,1498,8401,2665.11,MacOS,Mumbai,Request,Pending
T000149,2025-07-14 14:58:34,7664,5799,2797.05,MacOS,Mumbai,Receive,Failed
T000150,2025-07-14 14:58:36,1305,4276,3913.11,Android,Kolkata,Receive,Failed
T000151,2025-07-14 14:58:38,9634,7320,1443.35,MacOS,Chennai,Receive,Failed
T000152,2025-07-14 14:58:40,4194,6923,1349.66,Android,Chennai,Receive,Failed
T000153,2025-07-14 14:58:42,3669,7482,5484.15,Android,Bangalore,Request,Failed
T000154,2025-07-14 14:58:44,6808,8919,2719.04,Android,Kolkata,Receive,Failed
T000155,2025-07-14 14:58:46,3103,7056,5135.39,Android,Mumbai,Request,Success
T000156,2025-07-14 14:58:48,5472,6139,2505.52,Android,Kolkata,Send,Failed
T000157,2025-07-14 14:58:50,4703,5101,9884.81,Android,Bangalore,Receive,Failed
T000158,2025-07-14 14:58:52,9465,7007,8988.65,MacOS,Delhi,Receive,Failed
T000159,2025-07-14 14:58:54,6379,1773,1013.9,Android,Delhi,Send,Failed
T000160,2025-07-14 14:58:56,2728,8715,2632.28,MacOS,Kolkata,Receive,Success
T000161,2025-07-14 14:58:58,2923,3447,6651.89,IOS,Delhi,Request,Failed
T000162,2025-07-14 14:59:00,2928,4622,187.38,Android,Chennai,Send,Pending
T000163,2025-07-14 14:59:02,5530,6354,2020.4,MacOS,Delhi,Receive,Pending
T000164,2025-07-14 14:59:04,8927,8723,5127.53,MacOS,Kolkata,Receive,Pending
T000165,2025-07-14 14:59:06,5160,6877,4008.37,IOS,Delhi,Receive,Success
T000166,2025-07-14 14:59:08,5374,1679,8571.97,MacOS,Kolkata,Send,Failed
T000167,2025-07-14 14:59:10,3553,4729,8199.51,IOS,Chennai,Receive,Pending
T000168,2025-07-14 14:59:12,5333,1258,1398.88,MacOS,Chennai,Send,Failed
T000169,2025-07-14 14:59:14,3891,4309,6649.47,IOS,Bangalore,Receive,Failed
T000170,2025-07-14 14:59:16,3338,9155,5595.81,Android,Delhi,Request,Success
T000171,2025-07-14 14:59:18,1154,6194,8718.45,Android,Bangalore,Request,Failed
T000172,2025-07-14 14:59:20,8219,1398,187.26,IOS,Delhi,Receive,Failed
T000173,2025-07-14 14:59:22,8553,5627,6263.87,Android,Bangalore,Send,Success
T000174,2025-07-14 14:59:24,2192,9870,4934.28,Android,Mumbai,Receive,Failed
T000175,2025-07-14 14:59:26,3866,8594,8633.83,IOS,Bangalore,Request,Success
T000176,2025-07-14 14:59:28,3423,8352,4442.7,IOS,Kolkata,Receive,Failed
T000177,2025-07-14 14:59:30,7987,6406,2511.5,IOS,Chennai,Receive,Pending
T000178,2025-07-14 14:59:32,6101,1213,3566.64,IOS,Chennai,Send,Pending
T000179,2025-07-14 14:59:34,5927,4854,2200.15,MacOS,Mumbai,Send,Pending
T000180,2025-07-14 14:59:36,1968,9311,879.36,IOS,Chennai,Receive,Failed
T000181,2025-07-14 14:59:38,5613,5025,9761.39,IOS,Kolkata,Send,Success
T000182,2025-07-14 14:59:40,5388,7688,2609.49,IOS,Mumbai,Send,Pending
T000183,2025-07-14 14:59:42,7952,2869,9768.78,Android,Chennai,Receive,Success
T000184,2025-07-14 14:59:44,4724,7240,486.64,IOS,Kolkata,Send,Failed
T000185,2025-07-14 14:59:46,1532,3462,5350.2,Android,Chennai,Send,Pending
T000186,2025-07-14 14:59:48,4258,2147,7837.61,MacOS,Chennai,Request,Success
T000187,2025-07-14 14:59:50,5053,2042,4234.45,IOS,Kolkata,Request,Success
T000188,2025-07-14 14:59:52,6685,6129,2584.14,Android,Kolkata,Receive,Pending
T000189,2025-07-14 14:59:54,4859,6080,9481.83,MacOS,Chennai,Send,Success
T000190,2025-07-14 14:59:56,4619,6604,2977.21,Android,Delhi,Receive,Success
T000191,2025-07-14 14:59:58,9879,8824,1302.46,Android,Chennai,Request,Success
T000192,2025-07-14 15:00:00,2415,7894,4958.95,MacOS,Bangalore,Receive,Success
T000193,2025-07-14 15:00:02,4685,4828,1392.45,IOS,Delhi,Send,Failed
T000194,2025-07-14 15:00:04,2491,1343,1691.36,IOS,Chennai,Request,Failed
T000195,2025-07-14 15:00:06,8271,8080,3601.96,MacOS,Chennai,Receive,Success
T000196,2025-07-14 15:00:08,3130,1396,4896.83,Android,Mumbai,Request,Pending
T000197,2025-07-14 15:00:10,9639,2704,9178.35,Android,Delhi,Send,Failed
T000198,2025-07-14 15:00:12,8936,1216,5471.44,MacOS,Kolkata,Request,Success
T000199,2025-07-14 15:00:14,4255,2523,8036.24,MacOS,Delhi,Send,Failed
T000200,2025-07-14 15:00:16,2815,5952,3945.76,Android,Delhi,Receive,Failed
T000201,2025-07-14 15:00:18,2449,7649,269.89,Android,Kolkata,Request,Failed
T000202,2025-07-14 15:00:20,7401,2602,2853.73,IOS,Chennai,Request,Failed
T000203,2025-07-14 15:00:22,2359,4925,9309.52,MacOS,Mumbai,Send,Pending
T000204,2025-07-14 15:00:24,5696,2671,9665.18,IOS,Kolkata,Receive,Failed
T000205,2025-07-14 15:00:26,8146,9610,7700.83,MacOS,Kolkata,Send,Failed
T000206,2025-07-14 15:00:28,5269,9337,594.99,MacOS,Chennai,Send,Pending
T000207,2025-07-14 15:00:30,9522,9830,885.43,Android,Mumbai,Request,Success
T000208,2025-07-14 15:00:32,7020,6099,3695.59,Android,Delhi,Receive,Success
T000209,2025-07-14 15:00:34,6039,4797,7969.84,Android,Bangalore,Request,Failed
T000210,2025-07-14 15:00:36,3267,9598,9512.09,Android,Chennai,Request,Success
T000211,2025-07-14 15:00:38,5768,7656,6905.61,IOS,Chennai,Request,Failed
T000212,2025-07-14 15:00:40,1982,7341,3256.87,IOS,Chennai,Send,Failed
T000213,2025-07-14 15:00:42,9093,3305,651.82,IOS,Mumbai,Send,Success
T000214,2025-07-14 15:00:44,9295,5626,4612.19,Android,Kolkata,Request,Pending
T000215,2025-07-14 15:00:46,1115,6569,1018.89,Android,Delhi,Send,Pending
T000216,2025-07-14 15:00:48,2084,9796,9777.76,MacOS,Kolkata,Request,Pending
T000217,2025-07-14 15:00:50,2704,6443,9475.34,MacOS,Delhi,Request,Success
T000218,2025-07-14 15:00:52,8624,8199,6686.64,MacOS,Kolkata,Send,Failed
T000219,2025-07-14 15:00:54,9558,2150,7182.97,IOS,Bangalore,Send,Failed
T000220,2025-07-14 15:00:56,7717,5435,1311.2,Android,Kolkata,Request,Pending
T000221,2025-07-14 15:00:58,4129,9894,7117.7,MacOS,Mumbai,Request,Pending
T000222,2025-07-14 15:01:00,6343,9698,5741.95,IOS,Kolkata,Receive,Failed
T000223,2025-07-14 15:01:02,8970,4598,9823.72,IOS,Mumbai,Request,Failed
T000224,2025-07-14 15:01:04,6792,1831,7401.47,MacOS,Mumbai,Send,Failed
T000225,2025-07-14 15:01:06,4626,7160,6403.19,MacOS,Kolkata,Receive,Success
T000226,2025-07-14 15:01:08,1401,2904,2751.34,IOS,Kolkata,Request,Success
T000227,2025-07-14 15:01:10,2106,7897,2038.89,MacOS,Delhi,Receive,Pending
T000228,2025-07-14 15:01:12,6449,1401,909.23,Android,Mumbai,Request,Failed
T000229,2025-07-14 15:01:14,6640,7294,7736.19,IOS,Bangalore,Request,Success
T000230,2025-07-14 15:01:16,6757,8752,6975.86,IOS,Kolkata,Request,Success
T000231,2025-07-14 15:01:18,6372,7985,9096.64,MacOS,Kolkata,Request,Pending
T000232,2025-07-14 15:01:20,7972,6478,4411.31,Android,Delhi,Request,Success
T000233,2025-07-14 15:01:22,6454,7538,4125.58,IOS,Bangalore,Send,Failed
T000234,2025-07-14 15:01:24,6622,8240,3964.56,Android,Mumbai,Request,Failed
T000235,2025-07-14 15:01:26,9304,3790,8666.57,MacOS,Chennai,Send,Success
T000236,2025-07-14 15:01:28,3802,1390,7706.82,IOS,Chennai,Receive,Pending
T000237,2025-07-14 15:01:30,3729,7485,6569.43,Android,Mumbai,Request,Failed
T000238,2025-07-14 15:01:32,7494,2730,5446.22,IOS,Mumbai,Request,Pending
T000239,2025-07-14 15:01:34,8878,8223,8024.29,MacOS,Bangalore,Send,Pending
T000240,2025-07-14 15:01:36,3793,9386,3150.18,IOS,Kolkata,Request,Pending
T000241,2025-07-14 15:01:38,1851,4407,4102.92,Android,Mumbai,Send,Failed
T000242,2025-07-14 15:01:40,6123,4443,3226.52,Android,Mumbai,Send,Failed
T000243,2025-07-14 15:01:42,2202,3310,9555.11,IOS,Delhi,Send,Success
T000244,2025-07-14 15:01:44,3689,5409,3022.08,MacOS,Bangalore,Request,Failed
T000245,2025-07-14 15:01:46,3030,9253,1865.89,IOS,Delhi,Receive,Pending
T000246,2025-07-14 15:01:48,4219,1447,8769.36,Android,Delhi,Receive,Success
T000247,2025-07-14 15:01:50,8707,4513,9389.05,Android,Bangalore,Receive,Pending
T000248,2025-07-14 15:01:52,8265,8478,2751.72,Android,Bangalore,Request,Failed
T000249,2025-07-14 15:01:54,2491,9684,7337.27,MacOS,Bangalore,Request,Failed
T000250,2025-07-14 15:01:56,7947,9620,3266.72,MacOS,Kolkata,Receive,Failed
T000251,2025-07-14 15:01:58,9826,2408,2848.44,MacOS,Kolkata,Receive,Success
T000252,2025-07-14 15:02:00,5582,2712,2925.34,Android,Bangalore,Send,Failed
T000253,2025-07-14 15:02:02,4460,4799,2208.95,MacOS,Bangalore,Request,Pending
T000254,2025-07-14 15:02:04,2301,8802,3866.59,Android,Mumbai,Receive,Pending
T000255,2025-07-14 15:02:06,8304,4978,1998.14,IOS,Delhi,Receive,Failed
T000256,2025-07-14 15:02:08,8795,7210,1982.17,MacOS,Kolkata,Request,Pending
T000257,2025-07-14 15:02:10,6569,3949,4024.95,MacOS,Mumbai,Receive,Success
T000258,2025-07-14 15:02:12,7102,3603,6976.65,IOS,Delhi,Send,Pending
T000259,2025-07-14 15:02:14,2681,9522,7433.01,IOS,Chennai,Send,Success
T000260,2025-07-14 15:02:16,8333,8885,3642.9,IOS,Chennai,Request,Pending
T000261,2025-07-14 15:02:18,5871,3387,8960.73,MacOS,Mumbai,Send,Failed
T000262,2025-07-14 15:02:20,2945,4981,95.28,MacOS,Kolkata,Receive,Failed
T000263,2025-07-14 15:02:22,5987,6523,3492.81,MacOS,Mumbai,Request,Success
T000264,2025-07-14 15:02:24,1088,3926,2411.27,IOS,Chennai,Send,Failed
T000265,2025-07-14 15:02:26,2109,4866,3044.12,Android,Kolkata,Receive,Failed
T000266,2025-07-14 15:02:28,2619,8955,3787.07,IOS,Mumbai,Request,Success
T000267,2025-07-14 15:02:30,9594,3286,4672.32,MacOS,Kolkata,Request,Pending
T000268,2025-07-14 15:02:32,7341,4409,4372.93,IOS,Mumbai,Receive,Failed
T000269,2025-07-14 15:02:34,5392,8974,2920.93,IOS,Delhi,Request,Success
T000270,2025-07-14 15:02:36,8436,9676,9119.88,MacOS,Kolkata,Send,Failed
T000271,2025-07-14 15:02:38,4349,8122,1695.84,Android,Kolkata,Request,Failed
T000272,2025-07-14 15:02:40,5294,7674,2623.28,IOS,Bangalore,Send,Success
T000273,2025-07-14 15:02:42,5549,1730,1463.9,MacOS,Kolkata,Request,Success
T000274,2025-07-14 15:02:44,3530,6952,2098.39,Android,Delhi,Send,Failed
T000275,2025-07-14 15:02:46,5703,1726,8944.92,MacOS,Kolkata,Send,Pending
T000276,2025-07-14 15:02:48,9127,9133,9733.46,MacOS,Kolkata,Receive,Failed
T000277,2025-07-14 15:02:50,2602,9811,3740.43,MacOS,Kolkata,Send,Pending
T000278,2025-07-14 15:02:52,8193,5274,7164.93,Android,Delhi,Receive,Success
T000279,2025-07-14 15:02:54,2264,8690,3594.41,IOS,Delhi,Request,Pending
T000280,2025-07-14 15:02:56,8669,8483,4558.37,Android,Mumbai,Request,Pending
T000281,2025-07-14 15:02:58,9431,3627,306.18,MacOS,Chennai,Receive,Success
T000282,2025-07-14 15:03:00,6051,7050,3915.24,MacOS,Bangalore,Request,Failed
T000283,2025-07-14 15:03:02,2258,4054,5467.07,Android,Chennai,Send,Pending
T000284,2025-07-14 15:03:04,2187,8774,9016.45,IOS,Bangalore,Send,Pending
T000285,2025-07-14 15:03:06,2596,5542,8147.59,MacOS,Kolkata,Send,Failed
T000286,2025-07-14 15:03:08,5068,4394,559.65,IOS,Mumbai,Request,Pending
T000287,2025-07-14 15:03:10,9674,2831,3126.81,Android,Bangalore,Receive,Pending
T000288,2025-07-14 15:03:12,6275,6003,4973.85,MacOS,Delhi,Send,Success
T000289,2025-07-14 15:03:14,4826,6489,4286.02,MacOS,Bangalore,Request,Pending
T000290,2025-07-14 15:03:16,4590,7024,9961.62,MacOS,Kolkata,Request,Success
T000291,2025-07-14 15:03:18,9989,4210,8477.99,Android,Delhi,Receive,Pending
T000292,2025-07-14 15:03:20,1194,2128,3442.17,MacOS,Kolkata,Receive,Pending
T000293,2025-07-14 15:03:22,4441,5205,4813.4,Android,Bangalore,Request,Success
T000294,2025-07-14 15:03:24,4171,5536,9322.68,Android,Delhi,Receive,Success
T000295,2025-07-14 15:03:26,7329,5031,9732.58,IOS,Delhi,Send,Failed
T000296,2025-07-14 15:03:28,4948,9532,3094.5,IOS,Kolkata,Send,Success
T000297,2025-07-14 15:03:30,8138,9954,1984.43,Android,Kolkata,Request,Failed
T000298,2025-07-14 15:03:32,8935,4949,3818.47,Android,Bangalore,Send,Pending
T000299,2025-07-14 15:07:03,5515,7349,4697.33,Android,Mumbai,Request,Success
T000300,2025-07-14 15:07:05,4746,7997,9320.39,IOS,Chennai,Send,Success
T000301,2025-07-14 15:07:07,9457,2538,2562.11,MacOS,Chennai,Send,Pending
T000302,2025-07-14 15:07:09,1347,8060,7729.6,Android,Mumbai,Request,Failed
T000303,2025-07-14 15:07:11,5863,4690,5971.98,MacOS,Kolkata,Request,Success
T000304,2025-07-14 15:07:13,7486,9137,3557.0,MacOS,Delhi,Request,Failed
T000305,2025-07-14 15:07:15,1832,1264,2425.98,MacOS,Delhi,Request,Failed
T000306,2025-07-14 15:07:17,5230,7727,6753.2,Android,Delhi,Send,Success
T000307,2025-07-14 15:07:19,7539,6116,1710.22,IOS,Mumbai,Send,Success
T000308,2025-07-14 15:07:21,4219,2991,3549.87,IOS,Chennai,Send,Success
T000309,2025-07-14 15:07:23,2879,3144,8546.16,IOS,Chennai,Receive,Failed
T000310,2025-07-14 15:07:25,1795,5876,5298.03,IOS,Mumbai,Request,Success
T000311,2025-07-14 15:07:27,7726,3127,4606.65,MacOS,Delhi,Request,Failed
T000312,2025-07-14 15:07:29,5281,4621,6218.04,MacOS,Chennai,Request,Success
