transaction_id,timestamp,sender_id,receiver_id,amount,device,city,transaction_type,status,is_fraud
T001159,2025-07-14 01:16:33,3711,4705,1051.74,Android,Chennai,Receive,Failed,False
T001161,2025-07-14 01:16:37,1913,1258,4445.63,MacOS,Delhi,Request,Success,False
T001162,2025-07-14 01:16:39,2107,8673,6602.49,MacOS,Delhi,Receive,Failed,False
T001164,2025-07-14 01:16:43,2317,6812,8397.92,IOS,Chennai,Receive,Success,False
T001165,2025-07-14 01:16:45,6037,3197,1460.87,IOS,Chennai,Request,Success,False
T001167,2025-07-14 01:16:49,4099,9680,4548.93,MacOS,Delhi,Send,Pending,False
T001169,2025-07-14 01:16:53,7373,5240,3381.82,Android,Chennai,Send,Success,False
T001172,2025-07-14 01:16:59,6895,7078,3077.32,Android,Bangalore,Request,Pending,False
T001173,2025-07-14 01:17:01,2925,6823,4004.8,IOS,Chennai,Send,Pending,False
T001175,2025-07-14 01:17:05,2897,3053,4384.12,IOS,Mumbai,Request,Success,False
T001178,2025-07-14 01:17:11,7331,5821,4850.57,Android,Chennai,Request,Pending,False
T001180,2025-07-14 01:17:15,1061,2852,7765.87,IOS,Bangalore,Request,Pending,False
T001181,2025-07-14 01:17:17,2077,1867,7648.12,IOS,Kolkata,Receive,Pending,False
T001183,2025-07-14 01:17:21,5467,8988,9889.09,MacOS,Delhi,Receive,Failed,False
T001185,2025-07-14 01:17:25,7949,9384,4905.6,IOS,Chennai,Receive,Failed,False
T001186,2025-07-14 01:17:27,8701,8163,4625.67,Android,Delhi,Send,Failed,False
T001188,2025-07-14 01:17:31,5649,7799,587.77,IOS,Chennai,Request,Failed,False
T001189,2025-07-14 01:17:33,7508,7543,9290.11,MacOS,Kolkata,Request,Pending,False
T001191,2025-07-14 01:17:37,5353,3572,4846.76,IOS,Delhi,Request,Success,False
T001194,2025-07-14 01:17:43,9706,6580,3776.98,MacOS,Delhi,Receive,Pending,False
T001196,2025-07-14 01:17:47,8440,3968,3459.04,IOS,Chennai,Receive,Success,False
T001199,2025-07-14 01:17:53,8351,1708,1379.75,MacOS,Delhi,Receive,Pending,False
T001202,2025-07-14 01:17:59,2261,2150,3870.39,MacOS,Delhi,Send,Success,False
T001204,2025-07-14 01:18:03,9524,7800,9979.97,MacOS,Chennai,Receive,Success,False
T001205,2025-07-14 01:18:05,8303,7074,680.73,Android,Chennai,Send,Success,False
T001207,2025-07-14 01:18:09,7490,5445,8064.23,MacOS,Mumbai,Receive,Failed,False
T001208,2025-07-14 01:18:11,8370,3025,3973.01,Android,Kolkata,Receive,Pending,False
T001210,2025-07-14 01:18:15,4770,5041,7229.8,MacOS,Delhi,Send,Success,False
T001212,2025-07-14 01:18:19,6466,2556,7332.67,Android,Delhi,Request,Success,False
T001215,2025-07-14 01:18:25,3369,5501,9089.67,MacOS,Mumbai,Send,Success,False
T001216,2025-07-14 01:18:27,9609,5166,5760.9,MacOS,Kolkata,Request,Failed,False
T001218,2025-07-14 01:18:31,2441,4638,4843.9,Android,Kolkata,Request,Success,False
T001221,2025-07-14 01:18:37,5364,4179,1454.57,MacOS,Delhi,Receive,Success,False
T001223,2025-07-14 01:18:41,4595,2469,2893.05,MacOS,Delhi,Receive,Failed,False
T001224,2025-07-14 01:18:43,5698,4178,7296.33,IOS,Bangalore,Send,Success,False
T001227,2025-07-14 01:18:49,2955,8927,3477.56,IOS,Kolkata,Request,Failed,False
T001229,2025-07-14 01:18:53,8763,6688,7393.19,Android,Chennai,Receive,Pending,False
T001231,2025-07-14 01:18:57,3011,8488,8492.28,IOS,Bangalore,Request,Success,False
T001234,2025-07-14 01:19:03,5915,4382,3311.76,Android,Chennai,Request,Success,False
T001235,2025-07-14 01:19:05,6126,9866,8504.71,MacOS,Bangalore,Send,Pending,False
T001239,2025-07-14 01:19:13,7117,4836,787.24,IOS,Bangalore,Send,Pending,False
T001240,2025-07-14 01:19:15,8967,1619,325.01,IOS,Mumbai,Send,Failed,False
T001242,2025-07-14 01:19:19,3083,8061,6470.43,MacOS,Chennai,Receive,Success,False
T001245,2025-07-14 01:19:25,8171,1559,5141.16,MacOS,Chennai,Receive,Failed,False
T001247,2025-07-14 01:19:29,7533,3604,4244.3,IOS,Mumbai,Send,Success,False
T001248,2025-07-14 01:19:31,3538,1737,5991.58,MacOS,Delhi,Send,Success,False
T001251,2025-07-14 01:19:37,9987,4727,937.7,IOS,Mumbai,Send,Pending,False
T001253,2025-07-14 01:19:41,6530,5756,4792.95,MacOS,Kolkata,Send,Success,False
T001255,2025-07-14 01:19:45,4285,2610,5653.32,MacOS,Mumbai,Request,Failed,False
T001258,2025-07-14 01:19:51,5005,2263,4067.13,Android,Chennai,Request,Pending,False
T001261,2025-07-14 01:19:57,4212,5695,8988.7,Android,Delhi,Request,Success,False
T001264,2025-07-14 01:20:03,3892,9149,9108.79,MacOS,Chennai,Send,Failed,False
T001266,2025-07-14 01:20:07,1334,8036,9418.95,IOS,Chennai,Request,Pending,False
T001272,2025-07-14 01:20:19,1314,7258,4636.49,IOS,Delhi,Request,Failed,False
T001275,2025-07-14 01:20:25,6931,5628,9801.82,Android,Kolkata,Send,Pending,False
T001277,2025-07-14 01:20:29,9435,8839,3790.18,Android,Kolkata,Request,Pending,False
T001280,2025-07-14 01:20:35,5519,1107,220.76,IOS,Chennai,Receive,Success,False
T001282,2025-07-14 01:20:39,1624,1793,1880.19,MacOS,Delhi,Receive,Failed,False
T001283,2025-07-14 01:20:41,5866,3717,9043.76,IOS,Bangalore,Send,Pending,False
T001285,2025-07-14 01:20:45,7250,2290,4183.18,Android,Kolkata,Request,Success,False
T001288,2025-07-14 01:20:51,5217,3513,9175.61,Android,Delhi,Request,Success,False
T001296,2025-07-14 01:21:07,6117,4043,3498.94,IOS,Kolkata,Receive,Failed,False
T001299,2025-07-14 01:21:13,1593,9512,1153.83,MacOS,Chennai,Receive,Pending,False
T001302,2025-07-14 01:21:19,8143,6255,2022.95,IOS,Bangalore,Send,Success,False
T001304,2025-07-14 01:21:23,7451,1568,9931.44,MacOS,Delhi,Receive,Failed,False
T001307,2025-07-14 01:21:29,9665,7804,1990.02,MacOS,Delhi,Request,Pending,False
T001309,2025-07-14 01:21:33,3028,8284,3936.16,MacOS,Chennai,Send,Pending,False
T001312,2025-07-14 01:21:39,4721,2691,2323.4,MacOS,Kolkata,Request,Pending,False
T001317,2025-07-14 01:21:49,6170,3421,2530.76,MacOS,Chennai,Send,Pending,False
T001318,2025-07-14 01:21:51,9237,5652,6069.4,MacOS,Chennai,Request,Success,False
T001320,2025-07-14 01:21:55,5237,5080,1310.19,IOS,Bangalore,Request,Failed,False
T001324,2025-07-14 01:22:03,8812,3890,8008.82,MacOS,Chennai,Request,Success,False
T001326,2025-07-14 01:22:07,3516,3745,1966.35,MacOS,Chennai,Request,Failed,False
T001328,2025-07-14 01:22:11,8409,5370,797.68,MacOS,Chennai,Request,Failed,False
T001329,2025-07-14 01:22:13,7569,4079,4868.79,Android,Delhi,Send,Failed,False
T001331,2025-07-14 01:22:17,8446,3967,5509.34,MacOS,Kolkata,Receive,Failed,False
T001334,2025-07-14 01:22:23,8772,8196,3864.95,MacOS,Chennai,Request,Success,False
T001336,2025-07-14 01:22:27,4290,6426,2785.63,IOS,Mumbai,Request,Success,False
T001337,2025-07-14 01:22:29,6986,7334,3288.99,IOS,Delhi,Request,Pending,False
T001339,2025-07-14 01:22:33,3697,1833,7326.72,IOS,Bangalore,Send,Pending,False
T001340,2025-07-14 01:22:35,2347,4176,4507.17,Android,Chennai,Receive,Success,False
T001342,2025-07-14 01:22:39,1251,6964,3057.55,IOS,Bangalore,Receive,Pending,False
T001344,2025-07-14 01:22:43,5384,7377,8013.08,MacOS,Chennai,Request,Failed,False
T001345,2025-07-14 01:22:45,4876,4000,3877.42,MacOS,Delhi,Send,Failed,False
T001348,2025-07-14 01:22:51,9385,6497,6552.63,Android,Kolkata,Send,Pending,False
T001350,2025-07-14 01:22:55,9676,3955,871.22,MacOS,Kolkata,Receive,Pending,False
T001352,2025-07-14 01:22:59,1645,4130,7188.41,MacOS,Delhi,Send,Success,False
T001353,2025-07-14 01:23:01,3246,7609,5369.16,MacOS,Mumbai,Receive,Pending,False
T001355,2025-07-14 01:23:05,3689,1087,5587.19,Android,Delhi,Request,Pending,False
T001356,2025-07-14 01:23:07,6780,9197,425.05,Android,Chennai,Receive,Failed,False
T001359,2025-07-14 01:23:13,1384,7829,3651.13,IOS,Chennai,Send,Pending,False
T001361,2025-07-14 01:23:17,2978,4533,5671.96,IOS,Mumbai,Send,Success,False
T001363,2025-07-14 01:23:21,8416,1250,710.95,IOS,Bangalore,Receive,Success,False
T001364,2025-07-14 01:23:23,1329,8371,488.59,MacOS,Chennai,Request,Pending,False
T001366,2025-07-14 01:23:27,8726,6417,4769.22,MacOS,Delhi,Send,Pending,False
T001369,2025-07-14 01:23:33,8445,7854,736.06,IOS,Chennai,Receive,Pending,False
T001372,2025-07-14 01:23:39,4657,6116,5834.04,MacOS,Mumbai,Receive,Pending,False
T001375,2025-07-14 01:23:45,7379,6168,5133.65,MacOS,Kolkata,Request,Failed,False
T001379,2025-07-14 01:23:53,3323,3979,5674.57,Android,Delhi,Receive,Failed,False
T001380,2025-07-14 01:23:55,5413,2912,4573.52,Android,Kolkata,Send,Success,False
T001382,2025-07-14 01:23:59,7471,7181,7612.07,MacOS,Mumbai,Receive,Success,False
T001383,2025-07-14 01:24:01,3094,9040,5936.52,MacOS,Kolkata,Request,Pending,False
T001385,2025-07-14 01:24:05,7365,7300,4567.88,MacOS,Mumbai,Send,Success,False
T001386,2025-07-14 01:24:07,8719,7349,641.07,MacOS,Kolkata,Receive,Pending,False
T001388,2025-07-14 01:24:11,1218,3236,4098.76,MacOS,Chennai,Send,Pending,False
T001390,2025-07-14 01:24:15,9732,6551,6286.54,MacOS,Chennai,Request,Success,False
T001391,2025-07-14 01:24:17,6122,4720,9132.23,MacOS,Mumbai,Request,Pending,False
T001393,2025-07-14 01:24:21,3771,5621,4376.55,IOS,Chennai,Send,Pending,False
T001394,2025-07-14 01:24:23,5840,2749,6820.3,Android,Chennai,Receive,Success,False
T001398,2025-07-14 01:24:31,8524,4927,776.96,IOS,Delhi,Request,Failed,False
T001399,2025-07-14 01:24:33,6350,6006,1017.95,Android,Delhi,Receive,Pending,False
T000679,2025-07-14 15:55:10,3933,4084,7093.38,MacOS,Bangalore,Request,Failed,False
T000682,2025-07-14 15:58:20,7641,4820,2639.35,Android,Bangalore,Request,Success,False
T000683,2025-07-14 15:58:22,3971,5173,4973.8,MacOS,Chennai,Receive,Pending,False
T000685,2025-07-14 15:58:26,8188,2080,1631.1,IOS,Chennai,Receive,Success,False
T000686,2025-07-14 15:58:28,2686,9733,4815.99,Android,Kolkata,Send,Success,False
T000687,2025-07-14 15:58:30,8468,8336,8050.38,MacOS,Chennai,Send,Failed,False
T000688,2025-07-14 15:58:32,2966,4896,8477.38,MacOS,Chennai,Receive,Failed,False
T000689,2025-07-14 15:58:34,9508,7057,3379.53,IOS,Bangalore,Request,Pending,False
T000690,2025-07-14 15:58:36,2899,2053,7486.81,MacOS,Chennai,Receive,Failed,False
T000691,2025-07-14 15:58:38,5270,2469,4895.15,MacOS,Chennai,Receive,Failed,False
T000692,2025-07-14 15:58:40,3768,8421,4387.23,IOS,Chennai,Request,Pending,False
T000694,2025-07-14 15:58:44,8202,3523,2080.2,MacOS,Kolkata,Request,Failed,False
T000695,2025-07-14 15:58:46,7433,4805,8786.67,IOS,Delhi,Send,Success,False
T000696,2025-07-14 15:58:48,4884,5244,5646.07,IOS,Delhi,Send,Success,False
T000699,2025-07-14 15:58:54,3716,9663,9009.43,IOS,Chennai,Send,Pending,False
T000700,2025-07-14 15:58:56,9958,2543,5166.58,Android,Chennai,Receive,Success,False
T000702,2025-07-14 15:59:00,3550,9646,9060.96,MacOS,Chennai,Receive,Success,False
T000703,2025-07-14 15:59:02,4469,1378,5451.48,IOS,Delhi,Send,Pending,False
T000704,2025-07-14 15:59:04,1861,4129,5990.44,MacOS,Chennai,Request,Pending,False
T000705,2025-07-14 15:59:06,6039,3856,4454.36,IOS,Delhi,Send,Pending,False
T000706,2025-07-14 15:59:08,5964,9020,2614.78,MacOS,Bangalore,Send,Success,False
T000708,2025-07-14 15:59:12,2755,8002,5536.05,IOS,Chennai,Receive,Pending,False
T000766,2025-07-14 16:01:08,1398,4669,4258.27,MacOS,Bangalore,Receive,Pending,False
T000767,2025-07-14 16:01:35,4241,2820,1014.66,IOS,Chennai,Send,Success,False
T000768,2025-07-14 16:01:37,1686,1231,2408.08,MacOS,Delhi,Request,Success,False
T000769,2025-07-14 16:01:39,6133,3365,2260.37,Android,Delhi,Send,Failed,False
T000770,2025-07-14 16:01:41,2079,5235,2764.9,IOS,Delhi,Request,Pending,False
T000773,2025-07-14 16:01:47,9208,2501,9217.7,MacOS,Chennai,Send,Success,False
T000774,2025-07-14 16:01:49,9670,5840,2235.27,MacOS,Kolkata,Send,Success,False
T000775,2025-07-14 16:01:51,4008,3525,2763.26,IOS,Mumbai,Request,Success,False
T000776,2025-07-14 16:01:53,4029,7111,2727.39,MacOS,Mumbai,Receive,Pending,False
T000778,2025-07-14 16:01:57,1804,8180,3784.16,IOS,Delhi,Send,Failed,False
T000779,2025-07-14 16:01:59,6302,7502,1215.23,IOS,Delhi,Send,Success,False
T000780,2025-07-14 16:02:01,5667,5061,3413.3,Android,Bangalore,Send,Pending,False
T000781,2025-07-14 16:02:03,3290,9579,8626.92,IOS,Delhi,Send,Failed,False
T000782,2025-07-14 16:02:05,9390,1804,7201.85,IOS,Delhi,Send,Success,False
T000783,2025-07-14 16:02:07,5573,6040,3225.17,MacOS,Bangalore,Receive,Success,False
T000784,2025-07-14 16:02:09,4053,7386,3404.61,MacOS,Mumbai,Receive,Failed,False
T000785,2025-07-14 16:02:11,9697,9721,4245.76,MacOS,Chennai,Request,Failed,False
T000787,2025-07-14 16:02:15,3463,1133,8301.27,MacOS,Delhi,Request,Failed,False
T000788,2025-07-14 16:02:17,1497,8584,4380.87,Android,Mumbai,Request,Success,False
T000789,2025-07-14 16:02:19,4380,7710,7005.73,IOS,Chennai,Receive,Pending,False
T000790,2025-07-14 16:02:21,7249,7652,276.71,MacOS,Kolkata,Receive,Pending,False
T000791,2025-07-14 16:02:23,6470,1905,4241.18,IOS,Delhi,Receive,Pending,False
T000792,2025-07-14 16:02:25,7824,1548,997.88,IOS,Bangalore,Receive,Success,False
T000793,2025-07-14 16:02:27,3002,8562,7773.06,Android,Delhi,Send,Pending,False
T000794,2025-07-14 16:02:29,7725,7517,1756.47,IOS,Mumbai,Receive,Pending,False
T000795,2025-07-14 16:02:31,1444,5708,6694.55,IOS,Mumbai,Receive,Failed,False
T000796,2025-07-14 16:02:33,1949,9145,6002.02,MacOS,Bangalore,Receive,Pending,False
T000797,2025-07-14 16:02:35,2692,9592,5207.9,IOS,Bangalore,Receive,Pending,False
T000799,2025-07-14 16:02:39,3698,9387,4981.55,MacOS,Kolkata,Receive,Success,False
T000800,2025-07-14 16:02:41,8450,3702,7420.01,Android,Bangalore,Receive,Failed,False
T000801,2025-07-14 16:02:43,8078,4957,1520.25,Android,Chennai,Send,Pending,False
T000804,2025-07-14 16:02:49,3777,3871,5478.94,IOS,Chennai,Receive,Pending,False
T000806,2025-07-14 16:02:53,5575,7467,7679.46,IOS,Bangalore,Request,Pending,False
T000807,2025-07-14 16:02:55,6884,4617,4498.71,Android,Bangalore,Send,Pending,False
T000809,2025-07-14 16:02:59,1738,5984,3966.99,IOS,Chennai,Send,Success,False
T000810,2025-07-14 16:03:01,5380,7234,1544.46,IOS,Chennai,Request,Failed,False
T000811,2025-07-14 16:03:03,1953,6841,3775.56,MacOS,Delhi,Send,Failed,False
T000812,2025-07-14 16:03:05,2755,8508,8050.8,Android,Kolkata,Send,Success,False
T000813,2025-07-14 16:03:07,7936,2370,5093.06,IOS,Delhi,Request,Pending,False
T000814,2025-07-14 16:03:09,8126,4211,2395.03,MacOS,Bangalore,Receive,Pending,False
T000815,2025-07-14 16:03:11,7809,4016,2183.56,IOS,Kolkata,Send,Failed,False
T000816,2025-07-14 16:03:13,5886,3380,4828.34,MacOS,Kolkata,Receive,Pending,False
T000817,2025-07-14 16:03:15,4780,7658,7839.41,MacOS,Chennai,Receive,Success,False
T000818,2025-07-14 16:03:17,9067,4547,8598.02,IOS,Delhi,Request,Pending,False
T000819,2025-07-14 16:03:19,4318,8192,9443.36,IOS,Delhi,Receive,Pending,False
T000820,2025-07-14 16:03:21,3940,4190,8050.09,Android,Mumbai,Receive,Pending,False
T000821,2025-07-14 16:03:23,6154,2892,5591.76,MacOS,Bangalore,Request,Failed,False
T000822,2025-07-14 16:03:25,7289,4453,7867.69,Android,Delhi,Request,Success,False
T000823,2025-07-14 16:03:27,9689,8823,6604.32,IOS,Bangalore,Request,Pending,False
T000824,2025-07-14 16:03:29,7153,4143,8476.22,MacOS,Bangalore,Send,Pending,False
T000825,2025-07-14 16:03:31,4590,7616,8952.41,MacOS,Mumbai,Request,Failed,False
T000826,2025-07-14 16:03:33,4877,4952,2458.68,IOS,Bangalore,Receive,Success,False
T000827,2025-07-14 16:03:35,4773,4696,2734.29,IOS,Bangalore,Send,Success,False
T000829,2025-07-14 16:03:39,4525,4487,3568.81,MacOS,Bangalore,Receive,Pending,False
T000830,2025-07-14 16:03:41,8032,8282,8710.41,MacOS,Bangalore,Receive,Success,False
T000831,2025-07-14 16:03:43,4322,9180,2109.01,Android,Delhi,Request,Pending,False
T000832,2025-07-14 16:03:45,5835,3639,9558.12,IOS,Chennai,Request,Failed,False
T000833,2025-07-14 16:03:47,3183,5467,1400.36,IOS,Mumbai,Request,Success,False
T000834,2025-07-14 16:03:49,2444,2862,974.61,MacOS,Mumbai,Request,Pending,False
T000835,2025-07-14 16:03:51,4928,5930,1224.62,Android,Chennai,Receive,Success,False
T000839,2025-07-14 16:19:57,1978,8882,5430.3,IOS,Bangalore,Request,Success,False
T000840,2025-07-14 16:19:59,9009,8248,7825.73,IOS,Chennai,Send,Pending,False
T000841,2025-07-14 16:20:02,8113,8781,8455.98,Android,Delhi,Receive,Success,False
T000842,2025-07-14 16:20:04,5594,2303,6708.15,IOS,Delhi,Receive,Pending,False
T000843,2025-07-14 16:20:06,4715,9472,4269.46,MacOS,Chennai,Receive,Success,False
T000846,2025-07-14 16:20:12,5315,4617,2229.3,MacOS,Mumbai,Send,Pending,False
T000847,2025-07-14 16:20:14,2422,9131,5987.76,IOS,Chennai,Receive,Failed,False
T000848,2025-07-14 16:20:16,1829,3620,1876.1,IOS,Delhi,Receive,Pending,False
T000849,2025-07-14 16:20:18,1410,6865,5659.84,Android,Chennai,Request,Success,False
T000851,2025-07-14 16:20:22,8332,3736,2588.5,Android,Delhi,Send,Pending,False
T000852,2025-07-14 16:20:24,2752,7700,5786.71,Android,Chennai,Receive,Success,False
T000854,2025-07-14 16:20:28,4272,4625,4311.41,Android,Chennai,Request,Failed,False
T000855,2025-07-14 16:20:30,8260,8452,6882.45,Android,Chennai,Send,Failed,False
T000856,2025-07-14 16:20:32,1529,8689,3510.83,MacOS,Mumbai,Receive,Pending,False
T000857,2025-07-14 16:20:34,9167,9592,7735.14,Android,Chennai,Send,Success,False
T000859,2025-07-14 16:20:38,7894,6370,8985.74,MacOS,Delhi,Receive,Success,False
T000861,2025-07-14 16:20:42,2937,9478,3809.07,Android,Bangalore,Request,Pending,False
T000862,2025-07-14 16:20:44,2866,4256,7546.61,Android,Delhi,Send,Success,False
T000863,2025-07-14 16:20:46,5615,2493,8405.37,IOS,Delhi,Send,Success,False
T000864,2025-07-14 16:20:48,6564,5049,8421.01,IOS,Delhi,Receive,Success,False
T000865,2025-07-14 16:20:50,3698,9013,5945.3,Android,Chennai,Send,Failed,False
T000866,2025-07-14 16:20:52,9422,6943,2051.81,MacOS,Kolkata,Request,Success,False
T000867,2025-07-14 16:20:54,8650,6470,9188.79,Android,Bangalore,Receive,Pending,False
T000868,2025-07-14 16:20:56,5300,6291,6876.75,IOS,Chennai,Send,Success,False
T000869,2025-07-14 16:20:58,5622,7580,8173.49,MacOS,Kolkata,Send,Pending,False
T000870,2025-07-14 16:21:00,3255,6624,7335.19,MacOS,Kolkata,Send,Success,False
T000871,2025-07-14 16:21:02,3548,8476,7482.65,MacOS,Delhi,Request,Success,False
